State Rank,NEET Rank,Percentile,NEET Score,Final Score,Gender,Category,Local,EWS,Minority
4468,108075,94.6467078,500,500,M,BCD,OU,No,No
4469,108079,94.6467078,500,500,F,OC,AU,No,No
4470,108081,94.6467078,500,500,F,BCD,OU,No,No
4471,108082,94.6467078,500,500,F,BCB,OU,No,No
4472,108084,94.6467078,500,500,M,SC,SVU,No,No
4473,108086,94.6467078,500,500,M,BCA,SVU,No,No
4474,108095,94.6467078,500,500,M,BCB,AU,No,No
4475,108101,94.6467078,500,500,F,BCA,AU,No,No
4476,108105,94.6467078,500,500,F,OC,AU,No,No
4477,108116,94.6467078,500,500,F,OC,OU,No,No
4478,108118,94.6467078,500,500,M,OC,OU,No,No
4479,108119,94.6467078,500,500,F,OC,AU,No,No
4480,108122,94.6467078,500,500,F,OC,AU,No,No
4481,108131,94.6467078,500,500,F,BCB,AU,No,No
4482,108136,94.6467078,500,500,F,OC,SVU,No,No
4483,108145,94.6467078,500,500,M,OC,SVU,No,No
4484,108147,94.6467078,500,500,F,OC,AU,No,No
4485,108149,94.6467078,500,500,F,SC,OU,No,No
4486,108152,94.6467078,500,500,M,BCD,OU,No,No
4487,108153,94.6467078,500,500,F,SC,OU,No,No
4488,108162,94.6467078,500,500,M,OC,NL,No,MSM
4489,108170,94.6467078,500,500,F,BCD,AU,No,No
4490,108180,94.6467078,500,500,F,BCB,SVU,No,No
4491,108196,94.6467078,500,500,F,BCE,OU,No,MSM
4492,108197,94.6467078,500,500,F,OC,SVU,No,MSM
4493,108199,94.6467078,500,500,F,BCD,OU,No,No
4494,108234,94.6467078,500,500,M,BCB,OU,No,No
4495,108236,94.6467078,500,500,F,BCC,AU,No,No
4496,108248,94.6467078,500,500,F,OC,SVU,No,No
4497,108269,94.6467078,500,500,M,OC,OU,No,No
4498,108270,94.6467078,500,500,M,OC,OU,No,No
4499,108274,94.6467078,500,500,M,BCD,OU,No,No
4500,108276,94.6467078,500,500,F,BCB,OU,No,No
4501,108294,94.6467078,500,500,F,OC,OU,No,No
4502,108310,94.6467078,500,500,F,BCB,OU,No,No
4503,108318,94.6467078,500,500,M,OC,SVU,No,No
4504,108328,94.6467078,500,500,M,OC,AU,No,No
4505,108341,94.6467078,500,500,F,BCD,OU,No,No
4506,108344,94.6467078,500,500,F,OC,AU,No,No
4507,108361,94.6467078,500,500,M,BCB,OU,No,No
4508,108366,94.6467078,500,500,M,SC,OU,No,No
4509,108372,94.6467078,500,500,M,BCB,OU,No,No
4510,108373,94.6467078,500,500,M,BCD,SVU,No,No
4511,108374,94.6467078,500,500,F,BCE,OU,No,MSM
4512,108381,94.6467078,500,500,M,OC,OU,No,No
4513,108383,94.6467078,500,500,M,OC,SVU,No,No
4514,108412,94.6467078,500,500,F,OC,OU,No,No
4515,108417,94.6467078,500,500,F,OC,OU,No,No
4516,108419,94.6467078,500,500,F,OC,AU,No,MSM
4517,108434,94.6467078,500,500,F,OC,OU,No,No
4518,108454,94.6467078,500,500,F,BCB,AU,No,No
4519,108479,94.6467078,500,500,M,ST,OU,No,No
4520,108483,94.6467078,500,500,F,BCD,AU,No,No
4521,108486,94.6467078,500,500,M,BCB,AU,No,No
4522,108504,94.6467078,500,500,M,OC,OU,No,No
4523,108533,94.6467078,500,500,F,BCB,AU,No,No
4524,108553,94.6467078,500,500,F,BCB,NL,No,No
4525,108571,94.6467078,500,500,F,BCB,OU,No,No
4526,108628,94.6467078,500,500,M,OC,AU,No,No
4527,108666,94.6467078,500,500,F,OC,AU,No,No
4528,108672,94.6467078,500,500,F,BCB,NL,No,No
4529,108679,94.6467078,500,500,F,BCB,OU,No,No
4530,108724,94.6467078,500,500,F,OC,SVU,No,No
4531,108743,94.6467078,500,500,F,OC,AU,No,No
4532,108784,94.6467078,500,500,F,OC,SVU,No,No
4533,108822,94.6467078,500,500,M,OC,OU,No,No
