COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",173783,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",174596,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175380,OU,BCB,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175470,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",175853,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",234349,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",294602,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",317822,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",360212,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",416790,SVU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",424885,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",429722,NL,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",443225,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",444445,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",452817,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",458473,SVU,OC,F,,NRI,YES,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",492307,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",504764,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",507524,AU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",511303,OU,BCC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",518689,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",525704,OU,OC,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",530196,OU,BCB,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",545601,OU,OC,F,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",546171,OU,BCB,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",561708,OU,BCB,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",584046,NL,OC,F,MSM,NRI,,,P1
